fips,name,state,state_full,twitter,twitterYN,twitterNotes,twitter_active_COVID,twitter_active_last60,facebookYN,facebookNotes,notes,district,user_id,tweet,date,time,link,year,month,day
1025,Clarke County,AL,Alabama,NA,0,NA,NA,NA,1,Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1027,Clay County,AL,Alabama,NA,0,NA,NA,NA,1,Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1029,Cleburne County,AL,Alabama,NA,0,NA,NA,NA,1,Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1031,Coffee County,AL,Alabama,NA,0,NA,NA,NA,1,Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1033,Colbert County,AL,Alabama,NA,0,NA,NA,NA,1,Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1035,Conecuh County,AL,Alabama,NA,0,NA,NA,NA,1,Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1037,Coosa County,AL,Alabama,NA,0,NA,NA,NA,0,Administered at the state level,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1039,Covington County,AL,Alabama,NA,0,NA,NA,NA,1,Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1041,Crenshaw County,AL,Alabama,NA,0,NA,NA,NA,1,Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1043,Cullman County,AL,Alabama,NA,0,NA,NA,NA,1,Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1045,Dale County,AL,Alabama,NA,0,NA,NA,NA,1,Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1047,Dallas County,AL,Alabama,NA,0,NA,NA,NA,1,Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1049,DeKalb County,AL,Alabama,dekalb_co_ema,1,NA,Yes,Yes,1,Active,EmergManage,NA,414072411,DeKalb County Activities Building will be closed to the public for the remainder of the week due to multiple cases of COVID-19 illnesses.,11/22/2021,20:03:34,https://twitter.com/DeKalb_Co_EMA/status/1462949913944379394,2021,11,22
1051,Elmore County,AL,Alabama,NA,0,NA,NA,NA,1,Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1053,Escambia County,AL,Alabama,NA,0,NA,NA,NA,1,Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1055,Etowah County,AL,Alabama,NA,0,NA,NA,NA,1,Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1057,Fayette County,AL,Alabama,NA,0,NA,NA,NA,1,Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1059,Franklin County,AL,Alabama,NA,0,NA,NA,NA,1,Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1061,Geneva County,AL,Alabama,NA,0,NA,NA,NA,1,Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1063,Greene County,AL,Alabama,NA,0,NA,NA,NA,1,Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1065,Hale County,AL,Alabama,NA,0,NA,NA,NA,1,Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1067,Henry County,AL,Alabama,NA,0,NA,NA,NA,1,Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1069,Houston County,AL,Alabama,NA,0,NA,NA,NA,1,Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1071,Jackson County,AL,Alabama,NA,0,NA,NA,NA,1,Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1073,Jefferson County,AL,Alabama,jcdhtweets,1,NA,Yes,Yes,1,Active,NA,NA,7.13E+17,"Thanksgiving is tomorrow! Haskey Bryant, Environmental Health Supervisor, provides some important health and safety tips to prevent foodborne illnesses this holiday season.  https://t.co/i8uJW1a8VD",11/24/2021,14:57:16,https://twitter.com/jcdhtweets/status/1463597607457107976,2021,11,24
1075,Lamar County,AL,Alabama,NA,0,NA,NA,NA,1,Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1077,Lauderdale County,AL,Alabama,NA,0,NA,NA,NA,1,Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1079,Lawrence County,AL,Alabama,NA,0,NA,NA,NA,1,Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1081,Lee County,AL,Alabama,NA,0,NA,NA,NA,1,Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1083,Limestone County,AL,Alabama,limestoneema,1,NA,Yes,Yes,1,Active,EmergManage,NA,236245075,"Limestone County District 1 Commissioner, Daryl Sammet, will close Oak Grove Rd South of Sweet Springs Rd today (11-23-2021) from 9:00am to 12:30pm to replace culverts.  Please pay attention to road signage and use extreme caution for workers in this area!",11/23/2021,9:50:13,https://twitter.com/LimestoneEMA/status/1463157948042166277,2021,11,23
1085,Lowndes County,AL,Alabama,NA,0,NA,NA,NA,1,Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1087,Macon County,AL,Alabama,NA,0,NA,NA,NA,1,Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1089,Madison County,AL,Alabama,NA,0,NA,NA,NA,1,Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1091,Marengo County,AL,Alabama,NA,0,NA,NA,NA,1,Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1093,Marion County,AL,Alabama,NA,0,NA,NA,NA,1,Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1095,Marshall County,AL,Alabama,mcemaal,1,NA,Yes,No,1,Active,EmergManage,NA,552945595,"Alabama | Winter storm warning issued, includes more of Alabama  https://t.co/AhGogqxTtK",2/14/2021,9:21:19,https://twitter.com/McemaAl/status/1360957296684236802,2021,2,14
1097,Mobile County,AL,Alabama,ilovemchd,1,NA,Yes,Yes,1,Active,NA,NA,108606863,"Ty Tover, a peer counselor with MCHD and a contemporary expressionist painter, will be a guest tonight on the ""Health Talk with Shelia White &amp; Friends"" radio show to discuss the art exhibit that MCHD will host for World AIDS Day. The broadcast begins at 7 p.m. on WAVH-FM 106.5.  https://t.co/u3eWp8GpTV",11/24/2021,17:18:00,https://twitter.com/ILoveMCHD/status/1463633022817759232,2021,11,24
1099,Monroe County,AL,Alabama,NA,0,NA,NA,NA,1,Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1101,Montgomery County,AL,Alabama,mccalabama,1,DoubleCheck,No,No,1,Active,CountyGeneral,NA,NA,NA,NA,NA,NA,NA,NA,NA
1103,Morgan County,AL,Alabama,morgancoema,1,NA,Yes,Yes,1,Active,EmergManage,NA,116798321,Understand winter weather hazards #WinterPrep #WinterSafety  https://t.co/1bzzLDQBUs,11/17/2021,16:10:00,https://twitter.com/morgancoema/status/1461079195774238726,2021,11,17
1105,Perry County,AL,Alabama,NA,0,NA,NA,NA,1,Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1107,Pickens County,AL,Alabama,NA,0,NA,NA,NA,1,Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1109,Pike County,AL,Alabama,NA,0,NA,NA,NA,1,Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1111,Randolph County,AL,Alabama,NA,0,NA,NA,NA,1,Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1113,Russell County,AL,Alabama,NA,0,NA,NA,NA,1,Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1115,St. Clair County,AL,Alabama,stclairema,1,DoubleCheck,No,No,1,Active,EmergManage,NA,NA,NA,NA,NA,NA,NA,NA,NA
1117,Shelby County,AL,Alabama,NA,0,NA,NA,NA,1,Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1119,Sumter County,AL,Alabama,NA,0,NA,NA,NA,1,Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1121,Talladega County,AL,Alabama,NA,0,NA,NA,NA,1,Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1123,Tallapoosa County,AL,Alabama,NA,0,NA,NA,NA,1,Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1125,Tuscaloosa County,AL,Alabama,tuscaloosacoema,1,NA,Yes,Yes,1,Active,EmergManage,NA,2279615438,Traveling by car?  Follow these helpful tips: ☑️ Be sure your vehicle is in good running condition ☑️ Keep an emergency preparedness kit with you ☑️ Know the weather forecast during your travel ☑️ Keep the proper emergency winter road tools in the truck of your automobile  https://t.co/dgF1hfGyml,11/23/2021,21:45:16,https://twitter.com/TuscaloosaCoEMA/status/1463337893708058626,2021,11,23
1127,Walker County,AL,Alabama,NA,0,NA,NA,NA,1,Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1129,Washington County,AL,Alabama,NA,0,NA,NA,NA,1,Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1131,Wilcox County,AL,Alabama,NA,0,NA,NA,NA,1,Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1133,Winston County,AL,Alabama,NA,0,NA,NA,NA,1,Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,Aleutians East Borough,AK,Alaska,NA,0,NA,NA,NA,1,Active,CountyGeneral,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,Aleutians West Census Area,AK,Alaska,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Anchorage Municipality,AK,Alaska,ancpublichealth,1,NA,Yes,Yes,1,Active,NA,NA,4116084852,#HappyThanksgiving #AnchorageAK  https://t.co/5xPkWVd7Tz,11/24/2021,17:07:36,https://twitter.com/ancpublichealth/status/1463630407824392194,2021,11,24
2050,Bethel Census Area,AK,Alaska,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2060,Bristol Bay Borough,AK,Alaska,NA,0,NA,NA,NA,1,COVID Specific,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2068,Denali Borough,AK,Alaska,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2070,Dillingham Census Area,AK,Alaska,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2090,Fairbanks North Star Borough,AK,Alaska,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2100,Haines Borough,AK,Alaska,NA,0,NA,NA,NA,0,NA,Defunct,NA,NA,NA,NA,NA,NA,NA,NA,NA
2105,Hoonah-Angoon Census Area,AK,Alaska,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2110,Juneau City and Borough,AK,Alaska,NA,0,NA,NA,NA,1,Active,CountyGeneral,NA,NA,NA,NA,NA,NA,NA,NA,NA
2122,Kenai Peninsula Borough,AK,Alaska,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2130,Ketchikan Gateway Borough,AK,Alaska,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2150,Kodiak Island Borough,AK,Alaska,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2164,Lake and Peninsula Borough,AK,Alaska,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2170,Matanuska-Susitna Borough,AK,Alaska,healthymatsu,1,NA,Yes,Yes,1,Active,CountyGeneral,NA,86199430,Did you know the Mat-Su Health Foundation building is home to many other tenants?  Check out what other services you can find at 777 N. Crusey St. in Wasilla below👇:   https://t.co/CKmIABQoph  #Alaska #HealthyMatSu  https://t.co/ex2UnUPkwp,11/24/2021,14:59:19,https://twitter.com/healthymatsu/status/1463598121103986689,2021,11,24
2180,Nome Census Area,AK,Alaska,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2185,North Slope Borough,AK,Alaska,NA,0,NA,NA,NA,1,Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2188,Northwest Arctic Borough,AK,Alaska,NA,0,NA,NA,NA,0,NA,CountyGeneral,NA,NA,NA,NA,NA,NA,NA,NA,NA
2195,Petersburg Borough,AK,Alaska,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2198,Prince of Wales-Hyder Census Area,AK,Alaska,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2220,Sitka City and Borough,AK,Alaska,NA,0,NA,NA,NA,1,Inactive (2016),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2230,Skagway Municipality,AK,Alaska,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2240,Southeast Fairbanks Census Area,AK,Alaska,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2261,Valdez-Cordova Census Area,AK,Alaska,cityofvaldezak,1,DoubleCheck,No,No,1,Active,Outdated-Add District,NA,NA,NA,NA,NA,NA,NA,NA,NA
2270,Wade Hampton Census Area,AK,Alaska,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2275,Wrangell City and Borough,AK,Alaska,NA,0,NA,NA,NA,0,NA,CountyGeneral,NA,NA,NA,NA,NA,NA,NA,NA,NA
2282,Yakutat City and Borough,AK,Alaska,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2290,Yukon-Koyukuk Census Area,AK,Alaska,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4001,Apache County,AZ,Arizona,NA,0,NA,NA,NA,1,Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4003,Cochise County,AZ,Arizona,NA,0,NA,NA,NA,1,Active,CountyGeneral,NA,NA,NA,NA,NA,NA,NA,NA,NA
4005,Coconino County,AZ,Arizona,coconinohhs,1,NA,Yes,Yes,1,Active,NA,NA,24912695,"We are offering a few 'recipes' for a healthy and happy Thanksgiving. Follow these food safety tips this holiday season, and all year round!  https://t.co/MHcW5egc7n",11/24/2021,16:12:05,https://twitter.com/CoconinoHHS/status/1463616436459483138,2021,11,24
4007,Gila County,AZ,Arizona,gilaco_health,1,NA,Yes,No,1,Active,NA,NA,3243843487,https://t.co/g7xDFjq643,8/24/2021,12:11:58,https://twitter.com/GilaCo_Health/status/1430201223446089728,2021,8,24
4009,Graham County,AZ,Arizona,NA,0,NA,NA,NA,1,Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4011,Greenlee County,AZ,Arizona,NA,0,NA,NA,NA,1,Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4012,La Paz County,AZ,Arizona,lapazhealthinfo,1,NA,Yes,Yes,1,Active,NA,NA,61522025,YOUR PUBLIC HEALTH NEWS...  https://t.co/W5CZwJA0QD,9/30/2021,20:35:38,https://twitter.com/lapazhealthinfo/status/1443736327615234084,2021,9,30
4013,Maricopa County,AZ,Arizona,maricopahealth,1,NA,Yes,Yes,1,Active,NA,NA,29816986,"Pass the cranberries, not COVID-19. If you go to Grandma's with the sniffles, you could end up passing along a lot more than just green bean casserole. When in doubt, get tested or stay at home to protect others. Find testing at  https://t.co/vrbq8xoy74.  https://t.co/wHrkPpn0Zr",11/24/2021,17:32:01,https://twitter.com/Maricopahealth/status/1463636551099944962,2021,11,24
4015,Mohave County,AZ,Arizona,mohaveinfo,1,DoubleCheck,No,No,1,Active,Outdated-Add District,NA,NA,NA,NA,NA,NA,NA,NA,NA
4017,Navajo County,AZ,Arizona,ncphsd,1,DoubleCheck,No,No,1,Active,CountyGeneral,NA,NA,NA,NA,NA,NA,NA,NA,NA
4019,Pima County,AZ,Arizona,pchd,1,NA,Yes,Yes,1,Active,NA,NA,18508569,"Naloxone doesn’t just reverse the effects of an opioid overdose when it’s happening, it gives that person a second chance at life that they might not have had otherwise.  https://t.co/sN1klY5fmZ  https://t.co/MxjElxvmzN",11/24/2021,14:03:00,https://twitter.com/pchd/status/1463583949687439362,2021,11,24
4021,Pinal County,AZ,Arizona,pinalhealth,1,NA,Yes,Yes,0,No Page,NA,NA,7.76E+17,A Thanksgiving message from our Public Health Director:  https://t.co/2zj9d9zIDp,11/24/2021,16:35:39,https://twitter.com/pinalhealth/status/1463622364223000577,2021,11,24
4023,Santa Cruz County,AZ,Arizona,santacruzaz,1,NA,Yes,Yes,0,No Page,CountyGeneral,NA,2364620611,"COMMUNICABLE DISEASE INVESTIGATOR: Qualified members of the public are encouraged to apply for the following position by submitting a completed Santa Cruz County employment application (now required), resume/curriculum vitae and a letter of interest…  https://t.co/pC4C3PxgQq",11/23/2021,18:56:02,https://twitter.com/santacruzaz/status/1463295308104802305,2021,11,23
4025,Yavapai County,AZ,Arizona,yavapaihealth,1,NA,Yes,No,1,Active,NA,NA,55385884,Yavapai County Community Health Services maintains their website and Facebook page. For up the minute information visit  https://t.co/ZuYQOVRNVL or  https://t.co/EpDoFp6eJI,3/31/2020,11:47:25,https://twitter.com/YavapaiHealth/status/1245014845193211910,2020,3,31
4027,Yuma County,AZ,Arizona,yumacountyaz,1,NA,Yes,Yes,1,Active,CountyGeneral,NA,8.45E+17,"Los funcionarios de salud del condado de Yuma confirman 21 nuevos casos de COVID-19 y *2 nuevas muertes, lo que eleva el total de casos a 42,526.  https://t.co/y87ofKqZTf  https://t.co/r4r2AftCb9",11/23/2021,17:05:02,https://twitter.com/yumacountyaz/status/1463267370651164685,2021,11,23
5001,Arkansas County,AR,Arkansas,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5003,Ashley County,AR,Arkansas,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5005,Baxter County,AR,Arkansas,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5007,Benton County,AR,Arkansas,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5009,Boone County,AR,Arkansas,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5011,Bradley County,AR,Arkansas,NA,0,NA,NA,NA,1,NA,COVIDSpecific,NA,NA,NA,NA,NA,NA,NA,NA,NA
5013,Calhoun County,AR,Arkansas,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5015,Carroll County,AR,Arkansas,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5017,Chicot County,AR,Arkansas,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5019,Clark County,AR,Arkansas,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5021,Clay County,AR,Arkansas,NA,0,NA,NA,NA,1,NA,StateLevel,NA,NA,NA,NA,NA,NA,NA,NA,NA
5023,Cleburne County,AR,Arkansas,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5025,Cleveland County,AR,Arkansas,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5027,Columbia County,AR,Arkansas,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5029,Conway County,AR,Arkansas,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5031,Craighead County,AR,Arkansas,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5033,Crawford County,AR,Arkansas,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5035,Crittenden County,AR,Arkansas,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5037,Cross County,AR,Arkansas,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5039,Dallas County,AR,Arkansas,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5041,Desha County,AR,Arkansas,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5043,Drew County,AR,Arkansas,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5045,Faulkner County,AR,Arkansas,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5047,Franklin County,AR,Arkansas,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5049,Fulton County,AR,Arkansas,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5051,Garland County,AR,Arkansas,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5053,Grant County,AR,Arkansas,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5055,Greene County,AR,Arkansas,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5057,Hempstead County,AR,Arkansas,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5059,Hot Spring County,AR,Arkansas,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5061,Howard County,AR,Arkansas,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5063,Independence County,AR,Arkansas,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5065,Izard County,AR,Arkansas,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5067,Jackson County,AR,Arkansas,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5069,Jefferson County,AR,Arkansas,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5071,Johnson County,AR,Arkansas,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5073,Lafayette County,AR,Arkansas,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5075,Lawrence County,AR,Arkansas,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5077,Lee County,AR,Arkansas,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5079,Lincoln County,AR,Arkansas,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5081,Little River County,AR,Arkansas,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5083,Logan County,AR,Arkansas,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5085,Lonoke County,AR,Arkansas,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5087,Madison County,AR,Arkansas,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5089,Marion County,AR,Arkansas,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5091,Miller County,AR,Arkansas,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5093,Mississippi County,AR,Arkansas,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5095,Monroe County,AR,Arkansas,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5097,Montgomery County,AR,Arkansas,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5099,Nevada County,AR,Arkansas,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5101,Newton County,AR,Arkansas,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5103,Ouachita County,AR,Arkansas,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5105,Perry County,AR,Arkansas,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5107,Phillips County,AR,Arkansas,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5109,Pike County,AR,Arkansas,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5111,Poinsett County,AR,Arkansas,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5113,Polk County,AR,Arkansas,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5115,Pope County,AR,Arkansas,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5117,Prairie County,AR,Arkansas,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
